_ID,NAME,GROUP,DAY/HOUR/ROOM1,DAY/HOUR/ROOM2,DAY/HOUR/ROOM3,PROFESSOR1,PROFESSOR_EMAIL1,PROFESSOR2,PROFESSOR_EMAIL2
43,CALCULO INTEGRAL,G,MIERCOLES/12-14/F7,VIERNES/12-14/F7,,CARSTEN HOLTFORT,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
44,CARACTERIZACION DE NANOMATERIALES,A,LUNES/15-19/SEDE SAN CARLOS,,,CHRISTIAN GOMEZ SOLIS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
45,CIENCIA DE MATERIALES,A,MIERCOLES/17-19/F5,VIERNES/17-19/F5,,JULIO CESAR ARMAS PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
46,CINETICA QUIMICA Y CATALISIS,A-I,LUNES/12-14/F9,MIERCOLES/11-12/LAB. DE QUIMICA EDIF. G,VIERNES/9-12/LAB. DE QUIMICA EDIF. G,JOSE JORGE DELGADO GARCIA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
47,COMUNICACION ORAL Y ESCRITA,A,LUNES/15-18/SALA DE JUNTAS EDIF. A,,,MA. DEL CARMEN VARELA CHAVEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
48,COSMOLOGIA,A,MARTES/17-19/ F1,VIERNES/17-19/AUDITORIO EDIF. G,,ALMA XOCHITL GONZALEZ MORALES,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
49,DEBATES ETICOS CONTEMPORANEOS Y DERECHOS HUMANOS,A,MIERCOLES/16-19/AUDITORIO EDIF. G,,,FERNANDO AGUAS ANGEL,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
50,DEBATES ETICOS CONTEMPORANEOS Y DERECHOS HUMANOS,B,VIERNES/10-12/JARDIN FUERA CAFETERIA,VIERNES/14-15/C3,,GUSTAVO NIZ QUEVEDO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
51,DESARROLLO HISTORICO DE LA FISICA MODERNA,A,MIERCOLES/10-12/AUDITORIO DEL EDIF. B,VIERNES/10-11/AUDITORIO DEL EDIFICIO B,,JUAN BARRANCO MONARCA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
52,DISENO DE PROCESOS,A,"MARTES/8-10/ LAB. DE QUIMICA, EDIF. F",SABADO/11-13/ CENTRO DE COMPUTO 1,,JOSE DE JESUS IBARRA SANCHEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
53,ECUACIONES DIFERENCIALES ORDINARIAS,A,LUNES/10-12/F8,JUEVES/10-12/F8,,FRANCISCO MIGUEL VARGAS LUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
54,ECUACIONES DIFERENCIALES ORDINARIAS,B,LUNES/12-14/F5,MIERCOLES/12-14/F5,,FRANCISCO MIGUEL VARGAS LUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
55,ECUACIONES DIFERENCIALES ORDINARIAS,C,MARTES/17-19/F5,JUEVES/17-19/F5,,LUIS ARTURO URENA LOPEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
56,ECUACIONES DIFERENCIALES PARCIALES,A,MIERCOLES/8-10/F2,VIERNES/10-12/C2,,AZARAEL ADONAY YEBRA PEREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
57,ELECTRICIDAD Y MAGNETISMO,A-VI,MARTES/10-12/F6,JUEVES/10-12/F6,VIERNES/8-10/LAB. DE FISICA EDIF. G,JOSE SOCORRO GARCIA DIAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
58,ELECTRICIDAD Y MAGNETISMO,A-VII,MARTES/10-12/F6,JUEVES/10-12/F6,LUNES/10-12/LAB. DE FISICA EDIF. G,JOSE SOCORRO GARCIA DIAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JULIAN FELIX VALDEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
59,ELECTRICIDAD Y MAGNETISMO,B-IX,JUEVES/10-12/F5,VIERNES/10-12/F5,VIERNES/8-10/LAB. DE FISICA EDIF. C,ERICK SARMIENTO GOMEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JULIAN FELIX VALDEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
60,ELECTRICIDAD Y MAGNETISMO,B-V,JUEVES/10-12/F5,VIERNES/10-12/F5,MARTES/10-12/LAB. DE FISICA EDIF. C,ERICK SARMIENTO GOMEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,EDGAR VALENCIA RODRIGUEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
61,ELECTRICIDAD Y MAGNETISMO,C-III,LUNES/10-12/F7,JUEVES/12-14/F7,MIERCOLES/10-12/LAB. DE FISICA EDIF. G,MA. ISABEL DELGADILLO CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JOSE SOCORRO GARCIA DIAZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
62,ELECTRICIDAD Y MAGNETISMO,C-IV,LUNES/10-12/F7,JUEVES/12-14/F7,MIERCOLES/10-12/LAB. DE FISICA EDIF. C,MA. ISABEL DELGADILLO CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JULIAN FELIX VALDEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
63,ELECTRICIDAD Y MAGNETISMO,D-I,LUNES/12-14/F7,VIERNES/12-14/F2,JUEVES/8-10/LAB. DE FISICA EDIF. G,MA. ISABEL DELGADILLO CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,GEORFREY HUMBERTO ISRAEL MAURY CUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
64,ELECTRICIDAD Y MAGNETISMO,D-II,LUNES/12-14/F7,VIERNES/12-14/F2,JUEVES/12-14/LAB. DE FISICA EDIF. C,MA. ISABEL DELGADILLO CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,GEORFREY HUMBERTO ISRAEL MAURY CUNA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
65,ELECTRICIDAD Y MAGNETISMO,E-V,LUNES/15-17/F6,VIERNES/15-17/F6,MARTES/10-12/LAB. DE FISICA EDIF. C,MA. ISABEL DELGADILLO CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,EDGAR VALENCIA RODRIGUEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
66,ELECTRICIDAD Y MAGNETISMO,E-VIII,LUNES/15-17/F6,VIERNES/15-17/F6,MIERCOLES/8-10/LAB. DE FISICA EDIF. C,MA. ISABEL DELGADILLO CANO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,JULIAN FELIX VALDEZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.
67,ELECTROMAGNETISMO,A,MARTES/10-12/AUDITORIO DEL EDIF. B,JUEVES/10-12/ AUDITORIO DEL EDIF. B,,RAMON CASTANEDA PRIEGO,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
68,ELECTROMAGNETISMO,B,MARTES/8-10/F7,JUEVES/8-10/F7,,GERARDO GUTIERREZ JUAREZ,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
69,ESTRUCTURA DE LA MATERIA,A,MIERCOLES/12-13/ AUDITORIO EDIF. G,JUEVES/10-12/C3,,JOSE JORGE DELGADO GARCIA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
70,EVALUACION DE TECNOLOGIA HOSPITALARIA,A,MARTES/17-19/F9,JUEVES/17-19/F9,,EDGAR GONZALEZ CAMPOS,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
71,FENOMENOS DE TRANSPORTE,A,MIERCOLES/8-10/F5,VIERNES/8-10/F5,,IRAIS AMARANTA QUINTERO ORTEGA,THIS EMAIL ADDRESS IS BEING PROTECTED FROM SPAMBOTS. YOU NEED JAVASCRIPT ENABLED TO VIEW IT.,,
