UNIDAD DE APRENDIZAJE,GRUPO,DÍA/HORA/AULA,DÍA/HORA/AULA,DÍA/HORA/AULA,PROFESOR,CORREO PROFESOR,PROFESOR2,CORREO PROFESOR 2
FÍSICA DE LÁSERES,A,LUNES/17-19/F9,MIÉRCOLES/17-19/F9, ,SERGIO AUGUSTO ROMERO SERVÍN,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FÍSICA DE RADIACIONES,A,LUNES/15-17/C2,MIÉRCOLES/15-17/C2, ,KENIA MADRAZO DE LA ROSA,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FÍSICA GENERAL,A-III,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,LUNES/10-12/LAB. DE FÍSICA EDIF. C,GEMMA ELIZABETH PÉREZ CUÉLLAR,This email address is being protected from spambots. You need JavaScript enabled to view it.,JOSÉ SOCORRO GARCÍA DÍAZ,This email address is being protected from spambots. You need JavaScript enabled to view it.
FÍSICA GENERAL,A-IV,MARTES/10-12/AUDITORIO G,VIERNES/8-10/ AUDITORIO G,LUNES/8-10/LAB. DE FÍSICA EDIF. G,GEMMA ELIZABETH PÉREZ CUÉLLAR,This email address is being protected from spambots. You need JavaScript enabled to view it.,JOSÉ MIGUEL RAMOS MORENO,This email address is being protected from spambots. You need JavaScript enabled to view it.
FÍSICA GENERAL,B-I,JUEVES/12-14/AUDITORIO EDIF. G,VIERNES/8-10/C2,MARTES/8-10/LAB. DE FÍSICA EDIF. G,ARGELIA BERNAL BAUTISTA,This email address is being protected from spambots. You need JavaScript enabled to view it.,JOSÉ MIGUEL RAMOS MORENO,This email address is being protected from spambots. You need JavaScript enabled to view it.
FÍSICA GENERAL,B-II,JUEVES/12-14/AUDITORIO EDIF. G,VIERNES/8-10/C2,MARTES/8-10/LAB. DE FÍSICA EDIF. C,ARGELIA BERNAL BAUTISTA,This email address is being protected from spambots. You need JavaScript enabled to view it.,ANGÉLICA HERNÁNDEZ RAYAS,This email address is being protected from spambots. You need JavaScript enabled to view it.
FÍSICA RELATIVISTA,A,MIÉRCOLES/10-12/F2,VIERNES/10-12/F2, ,OSCAR GERARDO LOAIZA BRITO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
FÍSICA RELATIVISTA,B,LUNES/8-10/ G1,MIÉRCOLES/8-10/F8, ,GUSTAVO NIZ QUEVEDO,This email address is being protected from spambots. You need JavaScript enabled to view it., , 
"FLUIDOS, ONDAS Y TEMPERATURA",A-II,MIÉRCOLES/12-14/F9,VIERNES/8-10/F9,JUEVES/10-12/LAB. DE FÍSICA EDIF. G,GEORFREY HUMBERTO ISRAEL MAURY CUNA,This email address is being protected from spambots. You need JavaScript enabled to view it.,JOSUÉ ADÍN MINGUELA GALLARDO,This email address is being protected from spambots. You need JavaScript enabled to view it.
"FLUIDOS, ONDAS Y TEMPERATURA",A-III,MIÉRCOLES/12-14/F9,VIERNES/8-10/F9,JUEVES/10-12/LAB. DE FÍSICA EDIF. C,GEORFREY HUMBERTO ISRAEL MAURY CUNA,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
"FLUIDOS, ONDAS Y TEMPERATURA",B-I,MARTES/11-13/F9,VIERNES/12-14/F9,MIÉRCOLES/8-10/LAB. DE FÍSICA EDIF. G,ANA LAURA BENAVIDES OBREGÓN,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
"FLUIDOS, ONDAS Y TEMPERATURA",B-III,MARTES/11-13/F9,VIERNES/12-14/F9,JUEVES/10-12/LAB. DE FÍSICA EDIF. C,ANA LAURA BENAVIDES OBREGÓN,This email address is being protected from spambots. You need JavaScript enabled to view it.,NATALIA RINCÓN LONDOÑO,This email address is being protected from spambots. You need JavaScript enabled to view it.
"FLUIDOS, ONDAS Y TEMPERATURA",C-IV,MIÉRCOLES/12-14/F6,JUEVES/12-14/F6,MARTES/12-14/LAB. DE FÍSICA EDIF. G,ANA LAURA BENAVIDES OBREGÓN,This email address is being protected from spambots. You need JavaScript enabled to view it.,JOSUÉ ADÍN MINGUELA GALLARDO,This email address is being protected from spambots. You need JavaScript enabled to view it.
